-6.8376,8.0141,13.824
-2.1156,18.713,11.36
-3.2058,16.748,10.382
-5.1261,14.388,9.7867
-3.888,14.073,9.1785
-1.9802,14.249,8.5207
-1.8585,16.21,9.1373
-0.77868,14.256,8.055
-0.75678,16.415,8.7989
-7.0961,-3.2031,14.17
-1.0047,-1.3949,14.437
-1.6478,-0.50987,12.081
-0.72998,4.9343,14.16
-0.89706,4.3325,15.142
-0.89389,7.5759,15.858
-0.79859,13.068,11.827
-0.88214,12.23,13.263
-0.86245,12.016,14.122
-0.82621,10.151,15.272
-0.6649,13.487,9.0331
-3.027,2.7609,12.483
-1.9801,4.0349,13.302
-1.3884,3.6445,13.227
-0.79885,3.3652,16.547
-0.92144,16.076,11.527
-0.71363,15.959,9.8874
-6.3764,7.0907,1.7177
-7.2605,7.4063,1.7609
-5.0443,8.9321,14.919
-5.5352,8.2402,14.703
-7.7638,14.782,11.271
-2.9526,17.233,13.093
-4.4472,17.048,12.848
-6.9564,16.112,10.915
-5.6563,16.023,10.438
-6.876,13.975,9.1495
-3.1077,9.4667,16.068
-6.8164,11.275,12.958
-4.6927,11.624,14.503
-4.1999,13.266,14.269
-1.6583,12.031,15.708
-7.5153,12.772,11.959
-8.7108,13.069,10.446
-6.1711,12.69,13.064
-3.703,15.424,13.708
-6.1325,15.119,12.562
-1.5043,14.752,14.411
-1.1511,17.221,13.037
-7.6881,10.332,7.4121
-5.3146,3.3732,15.637
-3.5946,9.9601,1.9054
-9.9719,6.6094,11.052
-10.789,8.1247,8.5779
-10.215,5,10.776
-8.7949,5.9721,11.085
-10.588,6.6861,8.3819
-10.46,6.1666,9.9559
-10.146,8.0806,10.18
-9.3485,7.9887,9.3137
-10.307,9.3513,6.6411
-10.371,9.5079,8.7842
-10.422,10.031,7.5736
-9.6037,9.6725,8.093
-8.1684,9.4864,8.2057
-4.758,7.4312,1.504
-10.417,2.4798,8.8346
-8.4367,9.2816,9.2798
-8.1177,12.175,8.189
-8.3817,8.5026,7.3707
-5.5665,0.68969,15.48
-3.9926,0.34539,16.139
-9.1654,3.1939,11.813
-5.24,15,8.26
-5.2507,12.346,7.9104
-7.3028,0.29874,14.4
-3.2607,4.1043,16.779
-2.1043,1.7166,17.185
-6.948,6.1689,14.586
-7.1735,4.47,14.248
-6.9935,2.3059,14.61
-1.012,0.4167,14.725
-10.277,4.628,7.7701
-8.8785,10.051,6.8907
-8.0317,10.318,5.9275
-5.1715,10.933,4.2078
-8.9072,12.607,9.0722
-4.4215,-0.49629,10.919
-7.7557,7.0524,10.816
-8.2498,6.8757,12.85
-7.6844,6.8117,12.022
-9.2375,10.408,9.8984
-8.7963,8.9355,10.92
-9.4595,10.313,5.6102
-8.4972,8.5481,2.7866
-9.7405,5.1538,3.1433
-10.403,4.1745,5.5696
-9.9716,0.069317,5.5172
-8.408,4.2004,2.2764
-8.3874,1.0112,4.2989
-4.8834,2.416,4.8372
-6.7329,3.0564,2.6783
-6.6678,1.2708,4.4512
-10.202,6.8981,6.9139
-8.0121,11.303,4.411
-9.3655,8.023,8.16
-8.0185,4.5188,12.379
-3.5225,-7.2114,11.364
-4.5612,-5.11,11.978
-7.7706,-3.2244,9.1857
-4.7209,-1.177,15.921
-8.5407,-1.4637,8.1743
-9.6296,0.049488,10.865
-9.3995,1.2724,11.55
-2.7175,-2.5868,16.323
-1.576,0.42372,17.216
-4.3751,1.6201,15.698
